,duration,dropTime,riseTime,vals
0,9.0,1.0,7.0,
1,11.0,2.0,8.0,
2,11.0,1.0,9.0,
3,14.0,1.0,10.0,
4,10.0,1.0,7.0,
5,11.0,2.0,8.0,
6,11.0,1.0,9.0,
7,11.0,1.0,7.0,
8,9.0,1.0,5.0,
9,9.0,2.0,6.0,
