,duration,dropTime,riseTime,vals
0,9.0,3.0,2.0,
1,10.0,4.0,2.0,
2,11.0,4.0,3.0,
3,10.0,3.0,3.0,
4,9.0,7.0,1.0,
5,11.0,3.0,2.0,
6,10.0,2.0,1.0,
7,9.0,1.0,1.0,
8,10.0,2.0,2.0,
9,15.0,12.0,2.0,
